product_id,name,category,price,stock_quantity,rating
1,Face-to-face content-based flexibility,Electronics,664.78,328,3.6
2,Exclusive context-sensitive frame,Electronics,56.27,170,2.0
3,Fundamental tangible intranet,Clothing,788.25,105,1.3
4,Fundamental background matrix,Automotive,556.87,300,1.9
5,Multi-channeled optimal hierarchy,Automotive,237.59,396,1.6
6,Monitored zero administration project,Sports,8.81,439,4.9
7,Programmable local product,Clothing,542.96,408,1.7
8,Synergized composite alliance,Toys,867.24,67,1.1
9,Reduced human-resource collaboration,Automotive,789.69,301,2.3
10,Public-key non-volatile database,Clothing,269.77,64,4.0
11,Total intermediate hardware,Sports,118.96,32,2.9
12,Stand-alone systemic utilization,Automotive,365.86,303,1.4
13,Horizontal demand-driven Graphical User Interface,Sports,226.21,314,1.2
14,Total motivating neural-net,Automotive,909.29,337,3.1
15,User-friendly encompassing array,Home & Garden,645.47,15,1.2
16,Profound zero administration database,Home & Garden,848.2,218,3.7
17,Fundamental didactic Local Area Network,Home & Garden,714.12,227,1.3
18,Fundamental 5thgeneration budgetary management,Electronics,326.17,75,1.3
19,Programmable stable product,Books,626.56,299,3.2
20,Enterprise-wide methodical challenge,Books,384.61,305,3.1
21,Persistent optimizing Graphic Interface,Home & Garden,508.51,220,1.4
22,Multi-layered non-volatile implementation,Toys,119.72,335,3.6
23,Switchable optimizing alliance,Automotive,554.02,443,1.9
24,Inverse tangible benchmark,Home & Garden,888.75,211,2.4
25,Self-enabling heuristic access,Home & Garden,402.33,373,1.4
26,Diverse intangible leverage,Home & Garden,316.64,130,2.5
27,Managed global project,Clothing,688.69,242,1.3
28,Cross-platform contextually-based help-desk,Automotive,90.84,221,1.4
29,Integrated cohesive Local Area Network,Toys,376.4,66,3.2
30,Quality-focused contextually-based system engine,Sports,956.87,287,2.3
31,Ameliorated leadingedge workforce,Electronics,414.33,447,3.7
32,Seamless logistical parallelism,Automotive,426.39,468,3.9
33,Re-engineered system-worthy Internet solution,Books,602.8,180,1.4
34,Upgradable impactful leverage,Sports,217.45,336,2.9
35,Fully-configurable eco-centric success,Automotive,113.56,432,3.2
36,Multi-layered radical Graphical User Interface,Electronics,764.02,293,1.9
37,Polarized systematic initiative,Home & Garden,846.07,498,4.1
38,Innovative 6thgeneration emulation,Sports,615.88,329,3.2
39,Virtual motivating benchmark,Sports,929.5,424,3.8
40,Operative interactive time-frame,Electronics,185.32,359,4.0
41,Future-proofed object-oriented initiative,Books,354.91,92,4.5
42,Reverse-engineered 4thgeneration complexity,Sports,659.39,35,1.6
43,Profound composite framework,Toys,971.97,46,4.0
44,Right-sized tangible moderator,Clothing,379.93,232,2.4
45,Exclusive non-volatile system engine,Books,315.76,166,4.1
46,Devolved clear-thinking protocol,Sports,598.64,452,1.2
47,Managed zero tolerance application,Clothing,755.9,25,3.7
48,Cross-group fault-tolerant utilization,Books,446.44,217,2.9
49,Visionary client-server website,Home & Garden,417.69,110,4.0
50,Monitored logistical infrastructure,Electronics,349.09,56,2.1
51,Down-sized logistical ability,Toys,595.57,269,3.7
52,Switchable client-server customer loyalty,Electronics,225.19,306,1.2
53,Enhanced exuding function,Clothing,305.6,108,4.1
54,Configurable contextually-based encoding,Automotive,259.98,167,1.5
55,Expanded intermediate array,Home & Garden,748.52,89,1.5
56,Up-sized dynamic collaboration,Sports,705.44,256,3.2
57,Synergized next generation time-frame,Toys,807.35,36,2.6
58,Multi-layered 24hour matrices,Toys,48.04,9,2.8
59,Diverse grid-enabled attitude,Electronics,862.93,294,2.7
60,Phased neutral software,Home & Garden,711.23,213,2.2
61,Object-based tangible data-warehouse,Home & Garden,26.72,166,1.7
62,Phased static implementation,Sports,463.33,353,4.7
63,Persistent tertiary encryption,Electronics,440.08,54,2.0
64,Virtual bandwidth-monitored info-mediaries,Sports,404.04,40,2.6
65,De-engineered foreground task-force,Books,747.32,113,2.3
66,Devolved impactful throughput,Clothing,81.91,324,1.5
67,Inverse executive service-desk,Sports,198.73,397,2.4
68,Upgradable interactive policy,Toys,958.46,330,4.3
69,Object-based national archive,Clothing,108.18,131,1.8
70,Monitored mobile secured line,Sports,157.94,388,3.6
71,User-centric optimizing algorithm,Clothing,951.57,321,3.0
72,Face-to-face real-time conglomeration,Automotive,566.34,296,2.8
73,Visionary disintermediate hub,Sports,645.12,319,2.3
74,Multi-lateral global middleware,Toys,320.23,225,1.3
75,Adaptive reciprocal policy,Home & Garden,633.59,407,2.1
76,Versatile hybrid archive,Electronics,355.82,37,2.2
77,Stand-alone discrete challenge,Home & Garden,43.37,188,4.3
78,Proactive content-based analyzer,Electronics,646.79,500,4.4
79,Extended exuding Internet solution,Sports,596.51,196,2.9
80,Cross-group global info-mediaries,Sports,954.5,378,4.6
81,Streamlined contextually-based interface,Home & Garden,909.59,292,3.6
82,Distributed executive function,Books,607.37,256,1.6
83,Networked systematic matrices,Electronics,453.81,415,4.6
84,Automated empowering instruction set,Books,982.48,43,3.0
85,Enhanced cohesive infrastructure,Clothing,44.9,362,2.8
86,Synergized multi-state benchmark,Home & Garden,526.91,312,1.6
87,Persistent attitude-oriented hardware,Books,918.42,198,2.6
88,Synergized upward-trending attitude,Books,680.81,26,4.2
89,Streamlined impactful website,Toys,338.63,168,1.4
90,Advanced cohesive functionalities,Toys,390.23,129,3.9
91,De-engineered object-oriented middleware,Toys,964.61,308,4.5
92,Networked systemic knowledgebase,Books,87.0,339,1.6
93,Advanced mobile projection,Books,314.36,335,3.8
94,Synchronized impactful interface,Home & Garden,134.17,362,4.8
95,Visionary actuating framework,Books,561.56,329,4.2
96,Optimized empowering support,Automotive,133.02,359,4.3
97,Sharable bifurcated portal,Toys,997.17,467,3.1
98,Organized motivating hub,Toys,672.42,260,2.4
99,Vision-oriented methodical structure,Books,313.0,486,1.9
100,Managed national hierarchy,Automotive,489.34,115,5.0
